 N   M  total_closure_residual  best_pair_residual  pair_hits_lt1e-6  pair_exact_cover_count_capped100  best_triple_residual  triple_hits_lt1e-6  triple_exact_cover_count_capped100  roundrobin_min  roundrobin_mean  roundrobin_max  hamilton_min  hamilton_mean  hamilton_max
 3   3            2.100090e-15        4.762970e-01                 0                                 0          2.100090e-15                   1                                   1        1.000000         1.000000        1.000000  2.100090e-15   2.100090e-15  2.100090e-15
 4   6            4.132995e-15        4.999896e-01                 0                                 0          2.507851e-15                   8                                   4        1.000000         1.000000        1.000000           NaN            NaN           NaN
 5  10            2.683487e-15        1.879826e-10                13                                12          3.333333e-01                   0                                   0        0.086584         0.816566        1.000000  2.172485e-01   2.172485e-01  2.172485e-01
 6  15            4.175646e-15        1.757817e-01                 0                                 0          1.207391e-01                   0                                   0        0.634295         0.799227        0.998958           NaN            NaN           NaN
 7  21            4.104062e-15        9.532232e-05                 0                                 0          3.165736e-02                   0                                   0        0.197593         0.537681        0.930065  1.237155e-01   1.408894e-01  1.736423e-01
 8  28            9.977058e-16        1.204885e-03                 0                                 0          7.502278e-03                   0                                   0        0.194619         0.381009        0.573457           NaN            NaN           NaN
 9  36            4.985507e-15        1.014483e-04                 0                                 0          1.238123e-01                   0                                   0        0.239157         0.492472        0.868620  1.251088e-01   2.211237e-01  3.125329e-01
10  45            5.565340e-15        5.543338e-06                 0                                 0          4.738426e-03                   0                                   0        0.084061         0.460334        0.828657           NaN            NaN           NaN
11  55            1.287501e-15        3.078310e-04                 0                                 0          2.250646e-02                   0                                   0        0.305622         0.537831        0.962084  9.557595e-02   1.803401e-01  2.808799e-01
12  66            6.348547e-15        1.375641e-04                 0                                 0          2.685107e-03                   0                                   0        0.152238         0.389140        0.993547           NaN            NaN           NaN
13  78            6.129548e-16        4.865080e-04                 0                                 0          1.001621e-02                   0                                   0        0.030220         0.331589        0.660570  6.423406e-02   1.787062e-01  4.434085e-01
14  91            1.994736e-15        1.544324e-04                 0                                 0          7.224644e-03                   0                                   0        0.119313         0.305606        0.751760           NaN            NaN           NaN
15 105            2.060916e-15        1.595868e-05                 0                                 0          8.544935e-03                   0                                   0        0.160603         0.424072        0.707780  3.398327e-02   1.295569e-01  2.728626e-01
16 120            6.766044e-15        3.505741e-04                 0                                 0          3.060628e-03                   0                                   0        0.038513         0.310891        0.747707           NaN            NaN           NaN
ZIP /Users/kiharahanakira/Library/CloudStorage/GoogleDrive-kihara.noriaki@gmail.com/マイドライブ/OneDrive/GitHub/ai-chat-logs-open/次元の生成構造/電子の反跳実験/seed除去による準安定相追試/chatgpt追試/論文v1_全再現テスト_20260828/rerun/N3_N16_partial_zero_closure_analysis_20260826.zip 300971
