N,M,k,best_residual,edges
14,91,2,0.013717811949929328,"5-14;9-14"
14,91,3,0.0020363064352843111,"1-2;1-5;3-7"
14,91,4,0.00014133932930278676,"2-8;6-10;8-9;11-13"
14,91,5,0.00018111054914598813,"1-12;3-5;5-10;6-8;12-14"
14,91,6,0.00012060131311253599,"1-8;2-5;3-6;3-7;4-6;11-13"
14,91,7,0.00013002780955669705,"2-8;2-12;3-11;4-10;6-7;6-11;7-10"
14,91,8,0.00010216349599072939,"3-9;4-10;4-12;7-10;8-10;8-14;10-12;12-14"
14,91,9,2.552364184697627e-05,"2-6;2-9;2-12;4-7;4-8;4-10;6-8;9-14;10-12"
14,91,10,1.7840010209921577e-05,"2-9;2-10;2-12;3-8;4-8;4-12;6-12;7-8;8-9;8-13"
14,91,11,5.0550167160535077e-05,"1-12;2-4;4-10;5-13;6-10;6-11;7-8;8-11;8-13;10-13;11-13"
14,91,12,6.8202185005484357e-05,"1-2;1-3;1-7;1-9;1-14;2-8;2-13;4-9;7-10;7-13;8-9;10-12"
